tinestamp,car1_utm_x,car1_utm_y,car1_vel,car1_accel,car1_yaw,car2_utm_x,car2_utm_y,car2_vel_x,car2_vel_y,car2_accel,car2_yaw,estimate_utm_x,estimate_utm_y,estimate_vel_x,estimate_vel_y,estimate_accel,estimate_yaw
1609832178,60205.86249,2974186.207,-0.009854018,0.032501221,2.033845425,60199.73047,2974199.368,0.008717447,0.010702373,0.058193604,2.007225911,60200.08186,2974198.666,-0.002794359,-0.023573816,0.078596792,#NAME?
1609832178,60205.86326,2974186.207,-0.011941931,-0.065917969,2.03391695,60199.73148,2974199.369,0.010761494,0.011921873,0.021267334,2.007240292,60200.07097,2974198.667,0.017616304,0.003705791,0.114379096,#NAME?
1609832178,60205.86377,2974186.208,-0.013933306,-0.032806396,2.033911467,60199.73269,2974199.37,0.012199782,0.013470449,0.010586182,2.007205671,60200.05228,2974198.66,0.034000193,0.077070177,0.090920637,#NAME?
1609832178,60205.86439,2974186.21,-0.024587554,-0.006408691,2.033797026,60199.734,2974199.371,0.012944123,0.014636168,0.031490723,2.007135896,60200.05643,2974198.661,0.035642464,0.096129636,0.067266663,#NAME?
1609832178,60205.86447,2974186.213,-0.051575758,-0.204772949,2.033767223,60199.73537,2974199.373,0.013611945,0.015856549,0.025844971,2.007144951,60200.04957,2974198.666,0.038521448,0.102358339,-0.047009472,#NAME?
1609832178,60205.86032,2974186.216,-0.116311374,-0.451812744,2.033795834,60199.7369,2974199.375,0.015210842,0.017966669,0.03530542,2.007062393,60200.04813,2974198.645,-0.004410088,0.089876375,-0.144781436,#NAME?
1609832178,60205.85393,2974186.224,-0.19132842,-0.714569092,2.033812523,60199.73587,2974199.373,0.003599385,0.004807545,0.063686768,2.007127374,60200.06654,2974198.642,-0.027634757,0.049398191,-0.269970714,#NAME?
1609832178,60205.84561,2974186.239,-0.259784661,-0.832824707,2.033885479,60199.73215,2974199.369,0.004739033,0.005903569,0.027981201,2.007161463,60200.07233,2974198.637,-0.033976627,-0.001516941,-0.314042243,#NAME?
1609832178,60205.83223,2974186.27,-0.315229667,-0.701141357,2.033955812,60199.72852,2974199.365,0.00589133,0.007217052,0.008297363,2.007104471,60200.06566,2974198.625,0.017222086,-0.025487096,-0.363838364,#NAME?
1609832179,60205.82088,2974186.297,-0.355645331,-0.547637939,2.034097433,60199.72924,2974199.366,0.007708917,0.008740007,0.035915771,2.007078372,60200.0809,2974198.622,0.03077299,-0.048600079,-0.442147334,#NAME?
